"Name","activation_function","batch_size","epochs","learning_rate","num_neurons","optimizer","Train_cost","Train_mse","Train_r2","Train_rmse","Validation_cost","Validation_mse","Validation_r2","Validation_rmse","mse","r2","rmse"
"run-136","sigmoid","256","100","0.1","[32]","batch-gd","0.027522813165240995","0.027522813165240995","0.36047606028937806","0.1659000095396049","0.026095830228402377","0.026095830228402377","0.22592659446274133","0.16154203857944338","0.026095830228402377","0.22592659446274133","0.16154203857944338"
"run-205","tanh","256","100","0.01","[32,64,32]","batch-gd","0.030345703429008324","0.030345703429008324","0.29488298693540904","0.17420018205790808","0.026343461371978506","0.026343461371978506","0.21858118023574236","0.16230668923977995","0.026343461371978506","0.21858118023574236","0.16230668923977995"
"run-17","relu","16","10","0.1","[32,64,32]","minibatch-gd","0.01860611931571106","0.01860611931571106","0.5676656068523929","0.13640424962482312","0.026442890531203907","0.026442890531203907","0.2156318405436276","0.1626127010144162","0.026442890531203907","0.2156318405436276","0.1626127010144162"
"run-203","tanh","256","100","0.01","[32,64]","minibatch-gd","0.02028722073461192","0.02028722073461192","0.5286032989402656","0.14243321499780842","0.026590191856369013","0.026590191856369013","0.2112624820134437","0.16306499273715683","0.026590191856369013","0.2112624820134437","0.16306499273715683"
"run-5","relu","16","10","0.01","[32,64]","minibatch-gd","0.032809422427787865","0.032809422427787865","0.2376356673761838","0.1811337142218087","0.026891578474547897","0.026891578474547897","0.20232253398821576","0.1639865191854132","0.026891578474547897","0.20232253398821576","0.1639865191854132"
"run-127","sigmoid","256","100","0.01","[32]","batch-gd","0.029772301129247947","0.029772301129247947","0.3082066430449888","0.17254651873986895","0.02705071000677865","0.02705071000677865","0.1976022592928296","0.1644710005039753","0.02705071000677865","0.1976022592928296","0.1644710005039753"
"run-208","tanh","256","100","0.1","[32]","batch-gd","0.02044071671272035","0.02044071671272035","0.5250366449045651","0.14297103452350182","0.02705931037646601","0.02705931037646601","0.1973471489018397","0.16449714397662352","0.02705931037646601","0.1973471489018397","0.16449714397662352"
"run-26","relu","16","100","0.01","[32,64,32]","minibatch-gd","0.018966393022867633","0.018966393022867633","0.5592942365570808","0.13771852824826306","0.0271512237864536","0.0271512237864536","0.1946207468038448","0.16477628405342076","0.0271512237864536","0.1946207468038448","0.16477628405342076"
"run-50","relu","256","10","0.1","[32,64]","minibatch-gd","0.02894680277254283","0.02894680277254283","0.3273880384254373","0.17013759952621535","0.02723678285793502","0.02723678285793502","0.19208283169416773","0.16503570176763274","0.02723678285793502","0.19208283169416773","0.16503570176763274"
"run-111","sigmoid","256","10","0.01","[32,64]","sgd","0.03053888070454479","0.03053888070454479","0.2903942927175639","0.17475377164612155","0.02739851913458776","0.02739851913458776","0.18728529318430875","0.1655249803944642","0.02739851913458776","0.18728529318430875","0.1655249803944642"
"run-154","tanh","16","10","0.1","[32]","batch-gd","0.05312968536561392","0.05312968536561392","-0.23452880694311373","0.23049877519330536","0.02743187991180146","0.02743187991180146","0.18629572166260744","0.16562572237367437","0.02743187991180146","0.18629572166260744","0.16562572237367437"
"run-29","relu","16","100","0.1","[32]","minibatch-gd","0.018400890037812808","0.018400890037812808","0.5724343430843131","0.13564988034573716","0.027664152962163287","0.027664152962163287","0.17940587031339006","0.16632544291888504","0.027664152962163287","0.17940587031339006","0.16632544291888504"
"run-28","relu","16","100","0.1","[32]","batch-gd","0.023213620647948185","0.023213620647948185","0.4606050608782792","0.15236016752402243","0.02805348971927568","0.02805348971927568","0.16785708160496216","0.16749176015337494","0.02805348971927568","0.16785708160496216","0.16749176015337494"
"run-199","tanh","256","100","0.01","[32]","batch-gd","0.030865413631311168","0.030865413631311168","0.28280692791887385","0.17568555328003255","0.028261322821469904","0.028261322821469904","0.1616921856889949","0.16811104312765984","0.028261322821469904","0.1616921856889949","0.16811104312765984"
"run-141","sigmoid","256","100","0.1","[32,64,32]","sgd","0.02828164041862439","0.02828164041862439","0.34284384399920553","0.16817146136792768","0.028322624660973735","0.028322624660973735","0.15987380615268176","0.1682932698029655","0.028322624660973735","0.15987380615268176","0.1682932698029655"
"run-129","sigmoid","256","100","0.01","[32,64]","sgd","0.03042803114990851","0.03042803114990851","0.29297000848726207","0.17443632405525092","0.02840978801759199","0.02840978801759199","0.1572883035760243","0.1685520335611291","0.02840978801759199","0.1572883035760243","0.1685520335611291"
"run-92","sigmoid","16","100","0.01","[32]","minibatch-gd","0.0254181265264238","0.0254181265264238","0.4093808536704763","0.15943063233401478","0.02848386861248661","0.02848386861248661","0.155090871347488","0.16877164635236158","0.02848386861248661","0.155090871347488","0.16877164635236158"
"run-163","tanh","16","100","0.01","[32]","batch-gd","0.030299972256460344","0.030299972256460344","0.29594560286278104","0.1740688721640384","0.02904568312158213","0.02904568312158213","0.13842592271280196","0.17042794114106444","0.02904568312158213","0.13842592271280196","0.17042794114106444"
"run-102","sigmoid","16","100","0.1","[32,64]","sgd","0.028654875269991435","0.028654875269991435","0.3341713067425486","0.16927750964021013","0.02910153419145148","0.02910153419145148","0.13676922785089196","0.17059171782783442","0.02910153419145148","0.13676922785089196","0.17059171782783442"
"run-2","relu","16","10","0.01","[32]","minibatch-gd","0.031125038253921163","0.031125038253921163","0.2767742538422605","0.17642289605921666","0.029271737325430723","0.029271737325430723","0.1317205392903329","0.17108985161438045","0.029271737325430723","0.1317205392903329","0.17108985161438045"
"run-137","sigmoid","256","100","0.1","[32]","minibatch-gd","0.03557209398217441","0.03557209398217441","0.17344184438358878","0.188605657344032","0.02930861759716315","0.02930861759716315","0.13062656997465316","0.17119759810570692","0.02930861759716315","0.13062656997465316","0.17119759810570692"
"run-170","tanh","16","100","0.01","[32,64,32]","minibatch-gd","0.024458645499381548","0.024458645499381548","0.43167548913552367","0.15639260052630863","0.029512907729842938","0.029512907729842938","0.12456676818497936","0.17179321211806634","0.029512907729842938","0.12456676818497936","0.17179321211806634"
