"Name","activation_function","batch_size","epochs","learning_rate","num_neurons","optimizer","accuracy","f1","hamming_loss","precision","recall"
"run-170","tanh","16","100","0.01","[32,64,32]","minibatch-gd","0.35","0.5185185185185185","0.65","0.35","1"
"run-215","tanh","256","100","0.1","[32,64,32]","minibatch-gd","0.35","0.5185185185185185","0.65","0.35","1"
"run-80","sigmoid","16","10","0.01","[32,64,32]","minibatch-gd","0.35","0.5185185185185185","0.65","0.35","1"
"run-66","relu","256","100","0.1","[32,64]","sgd","0.35","0.516728624535316","0.65","0.3492462311557789","0.9928571428571428"
"run-18","relu","16","100","0.01","[32]","sgd","0.35","0.5185185185185185","0.65","0.35","1"
"run-74","sigmoid","16","10","0.01","[32]","minibatch-gd","0.35","0.5185185185185185","0.65","0.35","1"
"run-60","relu","256","100","0.01","[32,64,32]","sgd","0.35","0.5176252319109462","0.65","0.34962406015037595","0.9964285714285714"
"run-161","tanh","16","10","0.1","[32,64,32]","minibatch-gd","0.35","0.5185185185185185","0.65","0.35","1"
"run-105","sigmoid","16","100","0.1","[32,64,32]","sgd","0.35","0.5185185185185185","0.65","0.35","1"
"run-212","tanh","256","100","0.1","[32,64]","minibatch-gd","0.35","0.5185185185185185","0.65","0.35","1"
"run-129","sigmoid","256","100","0.01","[32,64]","sgd","0.35","0.5185185185185185","0.65","0.35","1"
"run-126","sigmoid","256","100","0.01","[32]","sgd","0.35","0.5185185185185185","0.65","0.35","1"
"run-120","sigmoid","256","10","0.1","[32,64]","sgd","0.35","0.5185185185185185","0.65","0.35","1"
"run-130","sigmoid","256","100","0.01","[32,64]","batch-gd","0.35","0.5185185185185185","0.65","0.35","1"
"run-186","tanh","256","10","0.01","[32,64,32]","sgd","0.35","0.5185185185185185","0.65","0.35","1"
"run-165","tanh","16","100","0.01","[32,64]","sgd","0.35","0.5185185185185185","0.65","0.35","1"
"run-140","sigmoid","256","100","0.1","[32,64]","minibatch-gd","0.35","0.5185185185185185","0.65","0.35","1"
"run-201","tanh","256","100","0.01","[32,64]","sgd","0.35","0.5185185185185185","0.65","0.35","1"
"run-131","sigmoid","256","100","0.01","[32,64]","minibatch-gd","0.35","0.5185185185185185","0.65","0.35","1"
"run-168","tanh","16","100","0.01","[32,64,32]","sgd","0.35","0.5185185185185185","0.65","0.35","1"
"run-57","relu","256","100","0.01","[32,64]","sgd","0.35","0.5176252319109462","0.65","0.34962406015037595","0.9964285714285714"
"run-204","tanh","256","100","0.01","[32,64,32]","sgd","0.35","0.5185185185185185","0.65","0.35","1"
"run-179","tanh","16","100","0.1","[32,64,32]","minibatch-gd","0.35","0.5185185185185185","0.65","0.35","1"
"run-93","sigmoid","16","100","0.01","[32,64]","sgd","0.35","0.5185185185185185","0.65","0.35","1"
"run-17","relu","16","10","0.1","[32,64,32]","minibatch-gd","0.35","0.5185185185185185","0.65","0.35","1"
"run-5","relu","16","10","0.01","[32,64]","minibatch-gd","0.35","0.5185185185185185","0.65","0.35","1"
"run-195","tanh","256","10","0.1","[32,64,32]","sgd","0.35","0.5185185185185185","0.65","0.35","1"
"run-95","sigmoid","16","100","0.01","[32,64]","minibatch-gd","0.35","0.5185185185185185","0.65","0.35","1"
"run-136","sigmoid","256","100","0.1","[32]","batch-gd","0.35","0.5185185185185185","0.65","0.35","1"
"run-3","relu","16","10","0.01","[32,64]","sgd","0.35","0.5185185185185185","0.65","0.35","1"
"run-16","relu","16","10","0.1","[32,64,32]","batch-gd","0.35","0.5185185185185185","0.65","0.35","1"
"run-167","tanh","16","100","0.01","[32,64]","minibatch-gd","0.35","0.5185185185185185","0.65","0.35","1"
"run-138","sigmoid","256","100","0.1","[32,64]","sgd","0.35","0.5185185185185185","0.65","0.35","1"
"run-171","tanh","16","100","0.1","[32]","sgd","0.35","0.5185185185185185","0.65","0.35","1"
"run-104","sigmoid","16","100","0.1","[32,64]","minibatch-gd","0.35","0.5185185185185185","0.65","0.35","1"
"run-54","relu","256","100","0.01","[32]","sgd","0.35","0.5185185185185185","0.65","0.35","1"
"run-34","relu","16","100","0.1","[32,64,32]","batch-gd","0.35","0.5185185185185185","0.65","0.35","1"
"run-132","sigmoid","256","100","0.01","[32,64,32]","sgd","0.35","0.5185185185185185","0.65","0.35","1"
"run-48","relu","256","10","0.1","[32,64]","sgd","0.35","0.5185185185185185","0.65","0.35","1"
"run-213","tanh","256","100","0.1","[32,64,32]","sgd","0.35","0.5185185185185185","0.65","0.35","1"
"run-134","sigmoid","256","100","0.01","[32,64,32]","minibatch-gd","0.35","0.5185185185185185","0.65","0.35","1"
"run-164","tanh","16","100","0.01","[32]","minibatch-gd","0.35","0.5185185185185185","0.65","0.35","1"
"run-50","relu","256","10","0.1","[32,64]","minibatch-gd","0.35","0.5185185185185185","0.65","0.35","1"
"run-118","sigmoid","256","10","0.1","[32]","batch-gd","0.35","0.5185185185185185","0.65","0.35","1"
"run-75","sigmoid","16","10","0.01","[32,64]","sgd","0.35","0.5185185185185185","0.65","0.35","1"
"run-150","tanh","16","10","0.01","[32,64,32]","sgd","0.35","0.5185185185185185","0.65","0.35","1"
"run-183","tanh","256","10","0.01","[32,64]","sgd","0.35","0.5185185185185185","0.65","0.35","1"
"run-108","sigmoid","256","10","0.01","[32]","sgd","0.35","0.5185185185185185","0.65","0.35","1"
"run-72","sigmoid","16","10","0.01","[32]","sgd","0.35","0.5185185185185185","0.65","0.35","1"
"run-100","sigmoid","16","100","0.1","[32]","batch-gd","0.35","0.5185185185185185","0.65","0.35","1"
"run-210","tanh","256","100","0.1","[32,64]","sgd","0.35","0.5185185185185185","0.65","0.35","1"
"run-110","sigmoid","256","10","0.01","[32]","minibatch-gd","0.35","0.5185185185185185","0.65","0.35","1"
"run-82","sigmoid","16","10","0.1","[32]","batch-gd","0.35","0.5185185185185185","0.65","0.35","1"
"run-89","sigmoid","16","10","0.1","[32,64,32]","minibatch-gd","0.35","0.5185185185185185","0.65","0.35","1"
"run-101","sigmoid","16","100","0.1","[32]","minibatch-gd","0.35","0.5185185185185185","0.65","0.35","1"
"run-78","sigmoid","16","10","0.01","[32,64,32]","sgd","0.35","0.5185185185185185","0.65","0.35","1"
"run-36","relu","256","10","0.01","[32]","sgd","0.35","0.5185185185185185","0.65","0.35","1"
"run-106","sigmoid","16","100","0.1","[32,64,32]","batch-gd","0.35","0.5185185185185185","0.65","0.35","1"
"run-149","tanh","16","10","0.01","[32,64]","minibatch-gd","0.35","0.5185185185185185","0.65","0.35","1"
"run-9","relu","16","10","0.1","[32]","sgd","0.35","0.5185185185185185","0.65","0.35","1"
"run-77","sigmoid","16","10","0.01","[32,64]","minibatch-gd","0.35","0.5185185185185185","0.65","0.35","1"
"run-44","relu","256","10","0.01","[32,64,32]","minibatch-gd","0.35","0.5140186915887851","0.65","0.34810126582278483","0.9821428571428572"
"run-175","tanh","16","100","0.1","[32,64]","batch-gd","0.35","0.5185185185185185","0.65","0.35","1"
"run-69","relu","256","100","0.1","[32,64,32]","sgd","0.35","0.5185185185185185","0.65","0.35","1"
"run-52","relu","256","10","0.1","[32,64,32]","batch-gd","0.35","0.5185185185185185","0.65","0.35","1"
"run-21","relu","16","100","0.01","[32,64]","sgd","0.34875","0.5171455050973123","0.65125","0.34918648310387984","0.9964285714285714"
"run-119","sigmoid","256","10","0.1","[32]","minibatch-gd","0.34875","0.5171455050973123","0.65125","0.34918648310387984","0.9964285714285714"
"run-63","relu","256","100","0.1","[32]","sgd","0.3475","0.5157699443413729","0.6525","0.3483709273182957","0.9928571428571428"
"run-203","tanh","256","100","0.01","[32,64]","minibatch-gd","0.34375","0.5051837888784166","0.65625","0.34314980793854033","0.9571428571428572"
