,words,PC1,PC2,PC3,PC4,PC5
96,slide,-1.3176003592948933,0.4313274732197971,-0.04818737325162672,-0.436748588260706,-1.3429765863301224
97,flute,1.4500836813896063,1.3824840201425728,-0.36657811538243507,0.9478123944918269,0.902556307797593
98,fruit,1.2100414117395757,-0.7698850500621689,0.04295614420771325,-0.047870117580493504,0.7230835188602037
99,drink,-1.180658683504388,0.26676910845928525,-0.31587357997008186,-0.03558567492357171,1.065236699603348
100,scissor,0.6634375002469749,0.716046424450535,0.1222228898753255,1.6309143002029451,-1.1393730701159273
101,grape,0.9694957123082864,-0.3348586556443395,0.7527950517732875,0.284760516899313,0.1924551449192085
102,laptop,0.5594814859010607,-0.2800270748685127,-1.803048906051364,-0.5200013987339122,0.015067599247354277
103,door,0.3918286614596887,0.29685152396133274,-0.6023861604060403,-0.09033436178129407,-0.6624273456961588
104,draw,-1.9182008390982763,0.33018448994021304,-0.32205650830694144,-0.10545976166087725,0.09020319876058634
105,calendar,0.20254441501894446,-1.103380121140686,-1.703845191938598,-0.5370223337185578,0.2732190966104639
106,badminton,1.7480864329689327,1.8843718375023342,-0.17853657881125817,-0.6525023005502321,2.547330947324304
107,chair,1.6137922166634335,-0.19051168992523468,-1.777046260239905,-1.0408663515705696,-1.6850619002217926
108,mouse,0.3966350259459233,0.2528036467354992,0.6717787192652762,0.18157137147719618,-0.24018389161099601
109,ladder,0.9350683997316566,0.5808255684002339,-0.6010264302985608,-0.8523441399120005,-1.181405751801234
110,pray,-2.843000411767498,0.026314850387432948,0.5701115127062996,-0.005105474403912271,0.14265075890297194
111,arrest,-1.5995419667284954,-0.5215758971976847,-0.08875943496275521,-0.188037858828797,-0.031076040342000417
112,finger,0.32163481908975006,0.3398322483337233,-0.16085370438545524,1.3219140155343405,-0.40988297627185033
113,email,-1.8814055566214696,0.12222423635560623,-0.9881816093191155,-0.39287392278704175,-0.5806869744598259
114,candle,0.6831192802342928,0.6049288047458923,-0.4687178638534006,0.39155004271613547,0.3236803879042071
115,ant,1.7597678082429442,-1.5056183422991436,0.8119870501274722,0.6084529147430491,-0.5835610697255849
116,buy,-3.026524692323651,-1.7078379029711213,-0.37187727618276323,0.43786394326263295,0.15402381097485
117,igloo,1.382053694923539,0.9481094471900772,-0.18992993530169508,-0.9017988932061607,-1.3076797754679952
118,goldfish,1.7862039795667177,0.4695878135951281,1.087628150942682,-0.35280849226785416,0.22291004125077868
119,bird,-0.16536300650381253,-0.35524578272065505,1.4927541669307673,-0.020874910428897102,0.022575694941271762
120,clock,-0.027112520293670624,0.683208093331748,-0.47742625077648915,-0.916914853840293,-0.5921472619527428
121,oven,0.3616627710531478,0.4058198696595809,-0.9794169276440646,-0.5497295507747113,-0.9750214950587788
122,calculator,0.2507032778116496,-0.32489739277140384,-1.6824619762484978,0.23573698360903036,0.6583682025439092
